Aika;Yö (kWh);Päivä (kWh)
11.01.2021 08;0.00;5.35
11.01.2021 09;0.00;3.15
11.01.2021 10;0.00;2.94
11.01.2021 11;0.00;2.99
11.01.2021 12;0.00;3.17
11.01.2021 13;0.00;1.95
11.01.2021 14;0.00;3.08
11.01.2021 15;0.00;4.53
11.01.2021 16;0.00;3.07
11.01.2021 17;0.00;3.41
11.01.2021 18;0.00;4.46
11.01.2021 19;0.00;3.91
11.01.2021 20;0.00;3.77
11.01.2021 21;0.00;5.10
11.01.2021 22;6.05;0.00
11.01.2021 23;6.02;0.00
12.01.2021 00;5.50;0.00
12.01.2021 01;5.04;0.00
12.01.2021 02;3.48;0.00
12.01.2021 03;3.22;0.00
12.01.2021 04;3.60;0.00
12.01.2021 05;3.22;0.00
12.01.2021 06;3.52;0.00
12.01.2021 07;0.00;3.15
12.01.2021 08;0.00;6.11
12.01.2021 09;0.00;3.03
12.01.2021 10;0.00;3.06
12.01.2021 11;0.00;3.46
12.01.2021 12;0.00;3.51
12.01.2021 13;0.00;4.54
12.01.2021 14;0.00;4.53
12.01.2021 15;0.00;4.50
12.01.2021 16;0.00;3.91
12.01.2021 17;0.00;4.19
12.01.2021 18;0.00;5.03
12.01.2021 19;0.00;4.25
12.01.2021 20;0.00;3.87
12.01.2021 21;0.00;3.98
12.01.2021 22;5.50;0.00
12.01.2021 23;5.71;0.00
13.01.2021 00;4.74;0.00
13.01.2021 01;3.61;0.00
13.01.2021 02;3.52;0.00
13.01.2021 03;3.82;0.00
13.01.2021 04;3.50;0.00
13.01.2021 05;3.65;0.00
13.01.2021 06;3.18;0.00
13.01.2021 07;0.00;3.50
13.01.2021 08;0.00;6.37
13.01.2021 09;0.00;5.72
13.01.2021 10;0.00;5.94
13.01.2021 11;0.00;4.76
13.01.2021 12;0.00;4.83
13.01.2021 13;0.00;5.25
13.01.2021 14;0.00;4.71
13.01.2021 15;0.00;4.27
13.01.2021 16;0.00;5.39
13.01.2021 17;0.00;5.50
13.01.2021 18;0.00;5.22
13.01.2021 19;0.00;4.70
13.01.2021 20;0.00;4.95
13.01.2021 21;0.00;4.68
13.01.2021 22;7.04;0.00
13.01.2021 23;5.86;0.00
14.01.2021 00;4.03;0.00
14.01.2021 01;3.01;0.00
14.01.2021 02;3.07;0.00
14.01.2021 03;3.09;0.00
14.01.2021 04;3.10;0.00
14.01.2021 05;3.17;0.00
14.01.2021 06;3.91;0.00
14.01.2021 07;0.00;3.90
14.01.2021 08;0.00;3.38
14.01.2021 09;0.00;3.46
14.01.2021 10;0.00;4.19
14.01.2021 11;0.00;3.60
14.01.2021 12;0.00;4.27
14.01.2021 13;0.00;4.41
14.01.2021 14;0.00;5.25
14.01.2021 15;0.00;4.87
14.01.2021 16;0.00;5.00
14.01.2021 17;0.00;5.57
14.01.2021 18;0.00;7.17
14.01.2021 19;0.00;6.09
14.01.2021 20;0.00;6.17
14.01.2021 21;0.00;6.01
14.01.2021 22;7.31;0.00
14.01.2021 23;5.47;0.00
15.01.2021 00;4.73;0.00
15.01.2021 01;4.62;0.00
15.01.2021 02;4.55;0.00
15.01.2021 03;4.47;0.00
15.01.2021 04;4.52;0.00
15.01.2021 05;4.40;0.00
15.01.2021 06;4.41;0.00
15.01.2021 07;0.00;6.64
15.01.2021 08;0.00;8.05
15.01.2021 09;0.00;4.79
15.01.2021 10;0.00;4.41
15.01.2021 11;0.00;5.10
15.01.2021 12;0.00;5.05
15.01.2021 13;0.00;6.34
15.01.2021 14;0.00;4.83
15.01.2021 15;0.00;4.96
15.01.2021 16;0.00;6.08
15.01.2021 17;0.00;7.98
15.01.2021 18;0.00;8.31
15.01.2021 19;0.00;7.87
15.01.2021 20;0.00;6.49
15.01.2021 21;0.00;6.94
15.01.2021 22;4.38;0.00
15.01.2021 23;4.18;0.00
16.01.2021 00;5.58;0.00
16.01.2021 01;5.84;0.00
16.01.2021 02;5.60;0.00
16.01.2021 03;3.93;0.00
16.01.2021 04;3.95;0.00
16.01.2021 05;4.08;0.00
16.01.2021 06;4.04;0.00
16.01.2021 07;0.00;4.15
16.01.2021 08;0.00;4.18
16.01.2021 09;0.00;4.28
16.01.2021 10;0.00;5.67
16.01.2021 11;0.00;6.23
16.01.2021 12;0.00;7.22
16.01.2021 13;0.00;7.05
16.01.2021 14;0.00;6.51
16.01.2021 15;0.00;5.98
16.01.2021 16;0.00;6.72
16.01.2021 17;0.00;6.69
16.01.2021 18;0.00;6.07
16.01.2021 19;0.00;5.92
16.01.2021 20;0.00;6.29
16.01.2021 21;0.00;5.71
16.01.2021 22;7.53;0.00
16.01.2021 23;7.03;0.00
17.01.2021 00;5.90;0.00
17.01.2021 01;4.12;0.00
17.01.2021 02;3.73;0.00
17.01.2021 03;3.62;0.00
17.01.2021 04;3.68;0.00
17.01.2021 05;3.65;0.00
17.01.2021 06;3.65;0.00
17.01.2021 07;0.00;3.56
17.01.2021 08;0.00;3.52
17.01.2021 09;0.00;3.52
17.01.2021 10;0.00;5.29
17.01.2021 11;0.00;5.06
17.01.2021 12;0.00;5.96
17.01.2021 13;0.00;5.89
17.01.2021 14;0.00;6.50
17.01.2021 15;0.00;4.29
17.01.2021 16;0.00;3.45
17.01.2021 17;0.00;3.84
17.01.2021 18;0.00;3.94
17.01.2021 19;0.00;3.74
17.01.2021 20;0.00;4.56
17.01.2021 21;0.00;4.55
17.01.2021 22;5.35;0.00
17.01.2021 23;5.28;0.00
18.01.2021 00;5.20;0.00
18.01.2021 01;3.72;0.00
18.01.2021 02;3.16;0.00
18.01.2021 03;3.14;0.00
18.01.2021 04;3.16;0.00
18.01.2021 05;3.36;0.00
18.01.2021 06;3.32;0.00
18.01.2021 07;0.00;5.84
18.01.2021 08;0.00;4.74
18.01.2021 09;0.00;3.80
18.01.2021 10;0.00;3.18
18.01.2021 11;0.00;2.96
18.01.2021 12;0.00;2.52
18.01.2021 13;0.00;2.79
18.01.2021 14;0.00;2.93
18.01.2021 15;0.00;4.09
18.01.2021 16;0.00;2.92
18.01.2021 17;0.00;3.16
18.01.2021 18;0.00;3.73
18.01.2021 19;0.00;4.16
18.01.2021 20;0.00;3.86
18.01.2021 21;0.00;4.39
18.01.2021 22;6.03;0.00
18.01.2021 23;5.47;0.00
19.01.2021 00;5.23;0.00
19.01.2021 01;4.46;0.00
19.01.2021 02;3.23;0.00
19.01.2021 03;3.21;0.00
19.01.2021 04;3.10;0.00
19.01.2021 05;3.12;0.00
19.01.2021 06;2.62;0.00
19.01.2021 07;0.00;3.17
19.01.2021 08;0.00;5.51
19.01.2021 09;0.00;2.62
19.01.2021 10;0.00;2.90
19.01.2021 11;0.00;2.79
19.01.2021 12;0.00;2.70
19.01.2021 13;0.00;2.56
19.01.2021 14;0.00;2.83
19.01.2021 15;0.00;2.62
19.01.2021 16;0.00;2.73
19.01.2021 17;0.00;3.44
19.01.2021 18;0.00;3.55
19.01.2021 19;0.00;2.69
19.01.2021 20;0.00;2.38
19.01.2021 21;0.00;2.61
19.01.2021 22;4.63;0.00
19.01.2021 23;4.75;0.00
20.01.2021 00;4.62;0.00
20.01.2021 01;2.76;0.00
20.01.2021 02;2.83;0.00
20.01.2021 03;2.82;0.00
20.01.2021 04;2.73;0.00
20.01.2021 05;2.77;0.00
20.01.2021 06;2.61;0.00
20.01.2021 07;0.00;2.40
20.01.2021 08;0.00;3.97
20.01.2021 09;0.00;2.15
20.01.2021 10;0.00;2.23
20.01.2021 11;0.00;2.56
20.01.2021 12;0.00;2.86
20.01.2021 13;0.00;3.72
20.01.2021 14;0.00;3.28
20.01.2021 15;0.00;2.76
20.01.2021 16;0.00;3.07
20.01.2021 17;0.00;3.26
20.01.2021 18;0.00;3.49
20.01.2021 19;0.00;2.70
20.01.2021 20;0.00;2.23
20.01.2021 21;0.00;2.76
20.01.2021 22;5.17;0.00
20.01.2021 23;5.20;0.00
21.01.2021 00;3.94;0.00
21.01.2021 01;3.07;0.00
21.01.2021 02;3.17;0.00
21.01.2021 03;3.17;0.00
21.01.2021 04;3.07;0.00
21.01.2021 05;3.08;0.00
21.01.2021 06;3.15;0.00
21.01.2021 07;0.00;5.66
21.01.2021 08;0.00;4.68
21.01.2021 09;0.00;3.01
21.01.2021 10;0.00;2.85
21.01.2021 11;0.00;2.81
21.01.2021 12;0.00;2.81
21.01.2021 13;0.00;2.47
21.01.2021 14;0.00;2.41
21.01.2021 15;0.00;2.45
21.01.2021 16;0.00;2.54
21.01.2021 17;0.00;3.31
21.01.2021 18;0.00;3.74
21.01.2021 19;0.00;4.55
21.01.2021 20;0.00;3.45
21.01.2021 21;0.00;3.62
21.01.2021 22;5.83;0.00
21.01.2021 23;5.68;0.00
22.01.2021 00;3.77;0.00
22.01.2021 01;3.56;0.00
22.01.2021 02;3.43;0.00
22.01.2021 03;3.46;0.00
22.01.2021 04;3.53;0.00
22.01.2021 05;3.40;0.00
22.01.2021 06;3.34;0.00
22.01.2021 07;0.00;3.61
22.01.2021 08;0.00;3.91
22.01.2021 09;0.00;3.58
22.01.2021 10;0.00;3.64
22.01.2021 11;0.00;3.69
22.01.2021 12;0.00;3.67
22.01.2021 13;0.00;2.86
22.01.2021 14;0.00;2.83
22.01.2021 15;0.00;2.89
22.01.2021 16;0.00;3.32
22.01.2021 17;0.00;4.32
22.01.2021 18;0.00;3.56
22.01.2021 19;0.00;3.34
22.01.2021 20;0.00;3.88
22.01.2021 21;0.00;4.19
22.01.2021 22;5.47;0.00
22.01.2021 23;5.29;0.00
23.01.2021 00;5.08;0.00
23.01.2021 01;3.32;0.00
23.01.2021 02;2.96;0.00
23.01.2021 03;2.84;0.00
23.01.2021 04;2.17;0.00
23.01.2021 05;2.07;0.00
23.01.2021 06;2.11;0.00
23.01.2021 07;0.00;2.92
23.01.2021 08;0.00;3.58
23.01.2021 09;0.00;2.78
23.01.2021 10;0.00;3.11
23.01.2021 11;0.00;2.90
23.01.2021 12;0.00;2.77
23.01.2021 13;0.00;2.69
23.01.2021 14;0.00;2.87
23.01.2021 15;0.00;2.31
23.01.2021 16;0.00;2.04
23.01.2021 17;0.00;3.67
23.01.2021 18;0.00;2.52
23.01.2021 19;0.00;2.64
23.01.2021 20;0.00;3.11
23.01.2021 21;0.00;3.25
23.01.2021 22;5.04;0.00
23.01.2021 23;4.91;0.00
24.01.2021 00;3.69;0.00
24.01.2021 01;2.83;0.00
24.01.2021 02;2.41;0.00
24.01.2021 03;2.05;0.00
24.01.2021 04;1.94;0.00
24.01.2021 05;2.00;0.00
24.01.2021 06;1.97;0.00
24.01.2021 07;0.00;2.42
24.01.2021 08;0.00;3.03
24.01.2021 09;0.00;2.77
24.01.2021 10;0.00;2.73
24.01.2021 11;0.00;3.80
24.01.2021 12;0.00;2.83
24.01.2021 13;0.00;2.84
24.01.2021 14;0.00;2.99
24.01.2021 15;0.00;2.29
24.01.2021 16;0.00;2.12
24.01.2021 17;0.00;2.07
24.01.2021 18;0.00;1.99
24.01.2021 19;0.00;2.46
24.01.2021 20;0.00;3.01
24.01.2021 21;0.00;3.80
24.01.2021 22;5.38;0.00
24.01.2021 23;5.11;0.00
25.01.2021 00;4.95;0.00
25.01.2021 01;3.62;0.00
25.01.2021 02;2.35;0.00
25.01.2021 03;2.08;0.00
25.01.2021 04;2.14;0.00
25.01.2021 05;2.01;0.00
25.01.2021 06;3.19;0.00
25.01.2021 07;0.00;3.79
25.01.2021 08;0.00;4.92
25.01.2021 09;0.00;3.45
25.01.2021 10;0.00;3.11
25.01.2021 11;0.00;2.97
25.01.2021 12;0.00;2.80
25.01.2021 13;0.00;3.13
25.01.2021 14;0.00;3.59
25.01.2021 15;0.00;2.76
25.01.2021 16;0.00;2.49
25.01.2021 17;0.00;2.11
25.01.2021 18;0.00;2.54
25.01.2021 19;0.00;3.04
25.01.2021 20;0.00;3.23
25.01.2021 21;0.00;3.55
25.01.2021 22;4.92;0.00
25.01.2021 23;4.30;0.00
26.01.2021 00;2.65;0.00
26.01.2021 01;2.58;0.00
26.01.2021 02;2.20;0.00
26.01.2021 03;1.90;0.00
