Aika;Yö (kWh);Päivä (kWh)
30.06.2021 08;0.00;0.79
30.06.2021 09;0.00;0.94
30.06.2021 10;0.00;0.58
30.06.2021 11;0.00;1.17
30.06.2021 12;0.00;0.71
30.06.2021 13;0.00;0.59
30.06.2021 14;0.00;0.64
30.06.2021 15;0.00;0.57
30.06.2021 16;0.00;0.54
30.06.2021 17;0.00;0.48
30.06.2021 18;0.00;0.47
30.06.2021 19;0.00;0.47
30.06.2021 20;0.00;0.51
30.06.2021 21;0.00;0.48
30.06.2021 22;0.76;0.00
30.06.2021 23;2.61;0.00
01.07.2021 00;1.66;0.00
01.07.2021 01;0.60;0.00
01.07.2021 02;0.63;0.00
01.07.2021 03;0.58;0.00
01.07.2021 04;0.61;0.00
01.07.2021 05;0.59;0.00
01.07.2021 06;0.60;0.00
01.07.2021 07;0.00;0.62
01.07.2021 08;0.00;0.57
01.07.2021 09;0.00;0.55
01.07.2021 10;0.00;0.65
01.07.2021 11;0.00;0.54
01.07.2021 12;0.00;0.67
01.07.2021 13;0.00;0.61
01.07.2021 14;0.00;0.54
01.07.2021 15;0.00;0.57
01.07.2021 16;0.00;0.52
01.07.2021 17;0.00;0.57
01.07.2021 18;0.00;0.52
01.07.2021 19;0.00;0.54
01.07.2021 20;0.00;1.06
01.07.2021 21;0.00;2.01
01.07.2021 22;1.04;0.00
01.07.2021 23;2.88;0.00
02.07.2021 00;2.71;0.00
02.07.2021 01;1.65;0.00
02.07.2021 02;0.68;0.00
02.07.2021 03;0.59;0.00
02.07.2021 04;0.57;0.00
02.07.2021 05;0.60;0.00
02.07.2021 06;0.57;0.00
02.07.2021 07;0.00;0.64
02.07.2021 08;0.00;0.55
02.07.2021 09;0.00;0.63
02.07.2021 10;0.00;1.67
02.07.2021 11;0.00;0.70
02.07.2021 12;0.00;1.68
02.07.2021 13;0.00;0.57
02.07.2021 14;0.00;1.55
02.07.2021 15;0.00;1.67
02.07.2021 16;0.00;1.62
02.07.2021 17;0.00;0.92
02.07.2021 18;0.00;0.85
02.07.2021 19;0.00;0.77
02.07.2021 20;0.00;0.82
02.07.2021 21;0.00;0.84
02.07.2021 22;1.14;0.00
02.07.2021 23;2.81;0.00
03.07.2021 00;2.10;0.00
03.07.2021 01;0.62;0.00
03.07.2021 02;0.61;0.00
03.07.2021 03;0.61;0.00
03.07.2021 04;0.56;0.00
03.07.2021 05;0.54;0.00
03.07.2021 06;0.56;0.00
03.07.2021 07;0.00;0.56
03.07.2021 08;0.00;0.54
03.07.2021 09;0.00;0.72
03.07.2021 10;0.00;1.87
03.07.2021 11;0.00;0.92
03.07.2021 12;0.00;0.98
03.07.2021 13;0.00;0.69
03.07.2021 14;0.00;0.75
03.07.2021 15;0.00;2.53
03.07.2021 16;0.00;0.92
03.07.2021 17;0.00;1.85
03.07.2021 18;0.00;0.61
03.07.2021 19;0.00;0.69
03.07.2021 20;0.00;0.52
03.07.2021 21;0.00;0.70
03.07.2021 22;1.22;0.00
03.07.2021 23;3.20;0.00
04.07.2021 00;2.85;0.00
04.07.2021 01;0.87;0.00
04.07.2021 02;0.82;0.00
04.07.2021 03;0.91;0.00
04.07.2021 04;0.92;0.00
04.07.2021 05;1.61;0.00
04.07.2021 06;0.80;0.00
04.07.2021 07;0.00;0.89
04.07.2021 08;0.00;0.84
04.07.2021 09;0.00;0.79
04.07.2021 10;0.00;0.87
04.07.2021 11;0.00;0.83
04.07.2021 12;0.00;1.52
04.07.2021 13;0.00;1.30
04.07.2021 14;0.00;0.61
04.07.2021 15;0.00;0.68
04.07.2021 16;0.00;0.50
04.07.2021 17;0.00;0.89
04.07.2021 18;0.00;1.27
04.07.2021 19;0.00;1.19
04.07.2021 20;0.00;1.74
04.07.2021 21;0.00;2.85
04.07.2021 22;3.53;0.00
04.07.2021 23;3.37;0.00
05.07.2021 00;3.25;0.00
05.07.2021 01;2.90;0.00
05.07.2021 02;2.67;0.00
05.07.2021 03;1.41;0.00
05.07.2021 04;0.62;0.00
05.07.2021 05;0.60;0.00
05.07.2021 06;0.56;0.00
05.07.2021 07;0.00;0.82
05.07.2021 08;0.00;0.97
05.07.2021 09;0.00;0.60
05.07.2021 10;0.00;0.68
05.07.2021 11;0.00;0.58
05.07.2021 12;0.00;0.56
05.07.2021 13;0.00;0.54
05.07.2021 14;0.00;0.52
05.07.2021 15;0.00;0.61
05.07.2021 16;0.00;0.54
05.07.2021 17;0.00;0.52
05.07.2021 18;0.00;0.43
05.07.2021 19;0.00;0.40
05.07.2021 20;0.00;0.43
05.07.2021 21;0.00;0.49
05.07.2021 22;1.09;0.00
05.07.2021 23;2.93;0.00
06.07.2021 00;2.90;0.00
06.07.2021 01;1.06;0.00
06.07.2021 02;0.73;0.00
06.07.2021 03;0.63;0.00
06.07.2021 04;0.65;0.00
06.07.2021 05;0.67;0.00
06.07.2021 06;0.65;0.00
06.07.2021 07;0.00;0.68
06.07.2021 08;0.00;0.74
06.07.2021 09;0.00;0.73
06.07.2021 10;0.00;0.52
06.07.2021 11;0.00;0.70
06.07.2021 12;0.00;0.50
06.07.2021 13;0.00;0.47
06.07.2021 14;0.00;0.49
06.07.2021 15;0.00;0.76
06.07.2021 16;0.00;0.75
06.07.2021 17;0.00;0.54
06.07.2021 18;0.00;0.51
06.07.2021 19;0.00;0.47
06.07.2021 20;0.00;0.55
06.07.2021 21;0.00;0.55
06.07.2021 22;1.14;0.00
06.07.2021 23;2.80;0.00
07.07.2021 00;1.22;0.00
07.07.2021 01;0.67;0.00
07.07.2021 02;0.66;0.00
07.07.2021 03;0.71;0.00
07.07.2021 04;0.62;0.00
07.07.2021 05;0.72;0.00
07.07.2021 06;0.69;0.00
07.07.2021 07;0.00;0.70
07.07.2021 08;0.00;0.71
07.07.2021 09;0.00;0.75
07.07.2021 10;0.00;0.74
07.07.2021 11;0.00;0.55
07.07.2021 12;0.00;0.68
07.07.2021 13;0.00;0.51
07.07.2021 14;0.00;0.48
07.07.2021 15;0.00;0.45
07.07.2021 16;0.00;0.49
07.07.2021 17;0.00;0.79
07.07.2021 18;0.00;0.97
07.07.2021 19;0.00;0.70
07.07.2021 20;0.00;0.96
07.07.2021 21;0.00;0.80
07.07.2021 22;1.11;0.00
07.07.2021 23;2.85;0.00
08.07.2021 00;1.34;0.00
08.07.2021 01;0.75;0.00
08.07.2021 02;0.67;0.00
08.07.2021 03;0.70;0.00
08.07.2021 04;0.71;0.00
08.07.2021 05;0.71;0.00
08.07.2021 06;0.74;0.00
08.07.2021 07;0.00;0.76
08.07.2021 08;0.00;0.87
08.07.2021 09;0.00;0.46
08.07.2021 10;0.00;0.42
08.07.2021 11;0.00;0.95
08.07.2021 12;0.00;1.56
08.07.2021 13;0.00;0.46
08.07.2021 14;0.00;0.46
08.07.2021 15;0.00;0.45
08.07.2021 16;0.00;0.39
08.07.2021 17;0.00;0.67
08.07.2021 18;0.00;0.86
08.07.2021 19;0.00;0.88
08.07.2021 20;0.00;0.70
08.07.2021 21;0.00;0.84
08.07.2021 22;1.31;0.00
08.07.2021 23;2.84;0.00
09.07.2021 00;1.44;0.00
09.07.2021 01;0.69;0.00
09.07.2021 02;0.68;0.00
09.07.2021 03;0.63;0.00
09.07.2021 04;0.60;0.00
09.07.2021 05;0.68;0.00
09.07.2021 06;0.63;0.00
09.07.2021 07;0.00;0.69
09.07.2021 08;0.00;0.68
09.07.2021 09;0.00;0.72
09.07.2021 10;0.00;0.79
09.07.2021 11;0.00;0.58
09.07.2021 12;0.00;1.07
09.07.2021 13;0.00;0.48
09.07.2021 14;0.00;0.42
09.07.2021 15;0.00;0.41
09.07.2021 16;0.00;0.62
09.07.2021 17;0.00;0.77
09.07.2021 18;0.00;0.50
09.07.2021 19;0.00;0.42
09.07.2021 20;0.00;0.84
09.07.2021 21;0.00;0.76
09.07.2021 22;1.10;0.00
09.07.2021 23;2.77;0.00
10.07.2021 00;1.64;0.00
10.07.2021 01;0.64;0.00
10.07.2021 02;0.70;0.00
10.07.2021 03;0.69;0.00
10.07.2021 04;0.72;0.00
10.07.2021 05;0.67;0.00
10.07.2021 06;0.75;0.00
10.07.2021 07;0.00;0.73
10.07.2021 08;0.00;0.73
10.07.2021 09;0.00;0.90
10.07.2021 10;0.00;0.82
10.07.2021 11;0.00;0.52
10.07.2021 12;0.00;0.44
10.07.2021 13;0.00;0.46
10.07.2021 14;0.00;0.43
10.07.2021 15;0.00;0.46
10.07.2021 16;0.00;0.83
10.07.2021 17;0.00;0.76
10.07.2021 18;0.00;0.68
10.07.2021 19;0.00;0.66
10.07.2021 20;0.00;0.71
10.07.2021 21;0.00;1.05
10.07.2021 22;1.09;0.00
10.07.2021 23;2.94;0.00
11.07.2021 00;1.49;0.00
11.07.2021 01;0.75;0.00
11.07.2021 02;0.75;0.00
11.07.2021 03;0.70;0.00
11.07.2021 04;0.73;0.00
11.07.2021 05;0.76;0.00
11.07.2021 06;0.75;0.00
11.07.2021 07;0.00;0.72
11.07.2021 08;0.00;0.76
11.07.2021 09;0.00;0.74
11.07.2021 10;0.00;1.98
11.07.2021 11;0.00;0.86
11.07.2021 12;0.00;0.81
11.07.2021 13;0.00;0.70
11.07.2021 14;0.00;1.36
11.07.2021 15;0.00;0.47
11.07.2021 16;0.00;0.32
11.07.2021 17;0.00;0.29
11.07.2021 18;0.00;0.32
11.07.2021 19;0.00;0.30
11.07.2021 20;0.00;0.30
11.07.2021 21;0.00;0.31
11.07.2021 22;0.54;0.00
11.07.2021 23;2.36;0.00
12.07.2021 00;1.38;0.00
12.07.2021 01;0.29;0.00
12.07.2021 02;0.32;0.00
12.07.2021 03;0.30;0.00
12.07.2021 04;0.29;0.00
12.07.2021 05;0.31;0.00
12.07.2021 06;0.31;0.00
12.07.2021 07;0.00;0.28
12.07.2021 08;0.00;0.29
12.07.2021 09;0.00;0.32
12.07.2021 10;0.00;0.28
12.07.2021 11;0.00;0.28
12.07.2021 12;0.00;0.31
12.07.2021 13;0.00;0.29
12.07.2021 14;0.00;0.29
12.07.2021 15;0.00;0.30
12.07.2021 16;0.00;0.29
12.07.2021 17;0.00;0.29
12.07.2021 18;0.00;0.29
12.07.2021 19;0.00;0.32
12.07.2021 20;0.00;0.29
12.07.2021 21;0.00;0.28
12.07.2021 22;0.57;0.00
12.07.2021 23;2.35;0.00
13.07.2021 00;0.62;0.00
13.07.2021 01;0.30;0.00
13.07.2021 02;0.32;0.00
13.07.2021 03;0.29;0.00
13.07.2021 04;0.30;0.00
13.07.2021 05;0.31;0.00
13.07.2021 06;0.30;0.00
13.07.2021 07;0.00;0.28
13.07.2021 08;0.00;0.30
13.07.2021 09;0.00;0.31
13.07.2021 10;0.00;0.28
13.07.2021 11;0.00;0.29
13.07.2021 12;0.00;0.30
13.07.2021 13;0.00;0.30
13.07.2021 14;0.00;0.29
13.07.2021 15;0.00;0.30
13.07.2021 16;0.00;0.31
13.07.2021 17;0.00;0.28
13.07.2021 18;0.00;0.28
13.07.2021 19;0.00;0.32
13.07.2021 20;0.00;0.28
13.07.2021 21;0.00;0.30
13.07.2021 22;0.57;0.00
13.07.2021 23;2.31;0.00
14.07.2021 00;0.71;0.00
14.07.2021 01;0.32;0.00
14.07.2021 02;0.29;0.00
14.07.2021 03;0.28;0.00
14.07.2021 04;0.32;0.00
14.07.2021 05;0.30;0.00
14.07.2021 06;0.29;0.00
14.07.2021 07;0.00;0.30
14.07.2021 08;0.00;0.31
14.07.2021 09;0.00;0.29
14.07.2021 10;0.00;0.29
14.07.2021 11;0.00;0.31
14.07.2021 12;0.00;0.28
14.07.2021 13;0.00;0.29
14.07.2021 14;0.00;0.32
14.07.2021 15;0.00;0.28
14.07.2021 16;0.00;0.29
14.07.2021 17;0.00;0.32
14.07.2021 18;0.00;0.29
14.07.2021 19;0.00;0.27
14.07.2021 20;0.00;0.32
14.07.2021 21;0.00;0.30
14.07.2021 22;0.53;0.00
14.07.2021 23;2.36;0.00
15.07.2021 00;0.65;0.00
15.07.2021 01;0.31;0.00
15.07.2021 02;0.31;0.00
15.07.2021 03;0.29;0.00
15.07.2021 04;0.30;0.00
15.07.2021 05;0.31;0.00
15.07.2021 06;0.29;0.00
15.07.2021 07;0.00;0.31
15.07.2021 08;0.00;0.29
15.07.2021 09;0.00;0.29
15.07.2021 10;0.00;0.31
15.07.2021 11;0.00;0.30
15.07.2021 12;0.00;0.29
15.07.2021 13;0.00;0.31
15.07.2021 14;0.00;0.28
15.07.2021 15;0.00;0.29
15.07.2021 16;0.00;0.32
15.07.2021 17;0.00;0.28
15.07.2021 18;0.00;0.31
15.07.2021 19;0.00;0.30
15.07.2021 20;0.00;0.28
15.07.2021 21;0.00;0.30
15.07.2021 22;0.54;0.00
15.07.2021 23;2.30;0.00
16.07.2021 00;0.65;0.00
16.07.2021 01;0.29;0.00
16.07.2021 02;0.32;0.00
16.07.2021 03;0.30;0.00
16.07.2021 04;0.28;0.00
16.07.2021 05;0.32;0.00
16.07.2021 06;0.28;0.00
16.07.2021 07;0.00;0.31
16.07.2021 08;0.00;0.30
16.07.2021 09;0.00;0.29
16.07.2021 10;0.00;0.32
16.07.2021 11;0.00;0.28
16.07.2021 12;0.00;0.29
16.07.2021 13;0.00;0.31
16.07.2021 14;0.00;0.29
16.07.2021 15;0.00;0.53
16.07.2021 16;0.00;1.19
16.07.2021 17;0.00;1.02
16.07.2021 18;0.00;0.95
16.07.2021 19;0.00;0.81
16.07.2021 20;0.00;0.80
16.07.2021 21;0.00;0.81
16.07.2021 22;1.13;0.00
16.07.2021 23;2.81;0.00
17.07.2021 00;1.34;0.00
17.07.2021 01;0.71;0.00
17.07.2021 02;0.68;0.00
17.07.2021 03;0.69;0.00
17.07.2021 04;0.68;0.00
17.07.2021 05;0.67;0.00
17.07.2021 06;0.72;0.00
17.07.2021 07;0.00;0.74
17.07.2021 08;0.00;0.73
17.07.2021 09;0.00;1.01
17.07.2021 10;0.00;0.92
17.07.2021 11;0.00;0.76
17.07.2021 12;0.00;0.74
17.07.2021 13;0.00;0.75
17.07.2021 14;0.00;0.76
17.07.2021 15;0.00;0.71
17.07.2021 16;0.00;0.71
17.07.2021 17;0.00;0.74
17.07.2021 18;0.00;0.69
17.07.2021 19;0.00;0.72
17.07.2021 20;0.00;0.75
17.07.2021 21;0.00;0.69
17.07.2021 22;0.94;0.00
17.07.2021 23;2.93;0.00
18.07.2021 00;2.38;0.00
18.07.2021 01;1.34;0.00
18.07.2021 02;0.32;0.00
18.07.2021 03;0.32;0.00
18.07.2021 04;0.30;0.00
18.07.2021 05;0.32;0.00
18.07.2021 06;0.30;0.00
18.07.2021 07;0.00;0.32
18.07.2021 08;0.00;0.29
18.07.2021 09;0.00;0.72
18.07.2021 10;0.00;0.30
18.07.2021 11;0.00;0.30
18.07.2021 12;0.00;0.28
18.07.2021 13;0.00;0.31
18.07.2021 14;0.00;0.30
18.07.2021 15;0.00;0.28
18.07.2021 16;0.00;0.29
18.07.2021 17;0.00;0.32
18.07.2021 18;0.00;0.28
18.07.2021 19;0.00;0.29
18.07.2021 20;0.00;0.31
18.07.2021 21;0.00;0.30
18.07.2021 22;0.53;0.00
18.07.2021 23;2.32;0.00
19.07.2021 00;0.75;0.00
19.07.2021 01;0.32;0.00
19.07.2021 02;0.29;0.00
19.07.2021 03;0.34;0.00
19.07.2021 04;0.31;0.00
19.07.2021 05;0.31;0.00
19.07.2021 06;0.30;0.00
19.07.2021 07;0.00;0.32
19.07.2021 08;0.00;0.32
19.07.2021 09;0.00;0.29
19.07.2021 10;0.00;0.29
19.07.2021 11;0.00;0.29
19.07.2021 12;0.00;0.31
19.07.2021 13;0.00;0.29
19.07.2021 14;0.00;0.28
19.07.2021 15;0.00;0.29
19.07.2021 16;0.00;0.31
19.07.2021 17;0.00;0.30
19.07.2021 18;0.00;0.29
19.07.2021 19;0.00;0.30
19.07.2021 20;0.00;0.28
19.07.2021 21;0.00;0.32
19.07.2021 22;0.56;0.00
19.07.2021 23;2.34;0.00
20.07.2021 00;0.87;0.00
20.07.2021 01;0.30;0.00
20.07.2021 02;0.32;0.00
20.07.2021 03;0.32;0.00
20.07.2021 04;0.31;0.00
20.07.2021 05;0.30;0.00
20.07.2021 06;0.31;0.00
20.07.2021 07;0.00;0.31
20.07.2021 08;0.00;0.32
20.07.2021 09;0.00;0.32
20.07.2021 10;0.00;0.29
20.07.2021 11;0.00;0.31
20.07.2021 12;0.00;0.30
20.07.2021 13;0.00;0.31
20.07.2021 14;0.00;0.31
20.07.2021 15;0.00;0.31
20.07.2021 16;0.00;0.29
20.07.2021 17;0.00;0.31
20.07.2021 18;0.00;0.30
20.07.2021 19;0.00;0.31
20.07.2021 20;0.00;0.31
20.07.2021 21;0.00;0.32
20.07.2021 22;0.55;0.00
20.07.2021 23;2.35;0.00
21.07.2021 00;0.94;0.00
21.07.2021 01;0.31;0.00
21.07.2021 02;0.32;0.00
21.07.2021 03;0.33;0.00
21.07.2021 04;0.36;0.00
21.07.2021 05;0.37;0.00
21.07.2021 06;0.34;0.00
21.07.2021 07;0.00;0.31
21.07.2021 08;0.00;0.30
21.07.2021 09;0.00;0.30
21.07.2021 10;0.00;0.31
21.07.2021 11;0.00;0.31
21.07.2021 12;0.00;0.31
21.07.2021 13;0.00;0.32
21.07.2021 14;0.00;0.30
21.07.2021 15;0.00;0.31
21.07.2021 16;0.00;0.30
21.07.2021 17;0.00;0.29
21.07.2021 18;0.00;0.31
21.07.2021 19;0.00;0.30
21.07.2021 20;0.00;0.31
21.07.2021 21;0.00;0.31
21.07.2021 22;0.57;0.00
21.07.2021 23;2.36;0.00
22.07.2021 00;0.98;0.00
22.07.2021 01;0.32;0.00
22.07.2021 02;0.33;0.00
22.07.2021 03;0.37;0.00
22.07.2021 04;0.40;0.00
22.07.2021 05;0.41;0.00
22.07.2021 06;0.36;0.00
22.07.2021 07;0.00;0.31
22.07.2021 08;0.00;0.30
22.07.2021 09;0.00;0.31
22.07.2021 10;0.00;0.31
22.07.2021 11;0.00;0.31
22.07.2021 12;0.00;0.30
22.07.2021 13;0.00;0.32
22.07.2021 14;0.00;0.30
22.07.2021 15;0.00;0.30
22.07.2021 16;0.00;0.31
22.07.2021 17;0.00;0.30
22.07.2021 18;0.00;0.31
22.07.2021 19;0.00;0.29
22.07.2021 20;0.00;0.31
22.07.2021 21;0.00;0.32
22.07.2021 22;0.56;0.00
22.07.2021 23;2.35;0.00
23.07.2021 00;1.00;0.00
23.07.2021 01;0.31;0.00
23.07.2021 02;0.34;0.00
23.07.2021 03;0.37;0.00
23.07.2021 04;0.40;0.00
23.07.2021 05;0.42;0.00
23.07.2021 06;0.37;0.00
23.07.2021 07;0.00;0.31
23.07.2021 08;0.00;0.30
23.07.2021 09;0.00;0.30
23.07.2021 10;0.00;0.31
23.07.2021 11;0.00;0.31
23.07.2021 12;0.00;0.29
23.07.2021 13;0.00;0.31
23.07.2021 14;0.00;0.31
23.07.2021 15;0.00;0.35
23.07.2021 16;0.00;1.32
23.07.2021 17;0.00;1.14
23.07.2021 18;0.00;2.85
23.07.2021 19;0.00;0.55
23.07.2021 20;0.00;0.52
23.07.2021 21;0.00;0.52
23.07.2021 22;0.74;0.00
23.07.2021 23;2.49;0.00
24.07.2021 00;2.23;0.00
24.07.2021 01;0.56;0.00
24.07.2021 02;0.59;0.00
24.07.2021 03;0.72;0.00
24.07.2021 04;0.81;0.00
24.07.2021 05;0.73;0.00
24.07.2021 06;0.65;0.00
24.07.2021 07;0.00;0.52
24.07.2021 08;0.00;0.56
24.07.2021 09;0.00;0.98
24.07.2021 10;0.00;1.86
24.07.2021 11;0.00;1.49
24.07.2021 12;0.00;1.86
24.07.2021 13;0.00;1.31
24.07.2021 14;0.00;1.20
24.07.2021 15;0.00;1.93
24.07.2021 16;0.00;1.43
24.07.2021 17;0.00;1.27
24.07.2021 18;0.00;1.04
24.07.2021 19;0.00;0.94
24.07.2021 20;0.00;0.50
24.07.2021 21;0.00;0.48
24.07.2021 22;0.87;0.00
24.07.2021 23;2.87;0.00
25.07.2021 00;2.95;0.00
25.07.2021 01;2.78;0.00
25.07.2021 02;0.83;0.00
25.07.2021 03;0.62;0.00
25.07.2021 04;0.67;0.00
25.07.2021 05;0.71;0.00
25.07.2021 06;0.70;0.00
25.07.2021 07;0.00;0.71
25.07.2021 08;0.00;0.70
25.07.2021 09;0.00;0.65
25.07.2021 10;0.00;0.79
25.07.2021 11;0.00;0.67
25.07.2021 12;0.00;0.93
25.07.2021 13;0.00;1.11
25.07.2021 14;0.00;0.70
25.07.2021 15;0.00;1.65
25.07.2021 16;0.00;1.69
25.07.2021 17;0.00;0.86
25.07.2021 18;0.00;0.63
25.07.2021 19;0.00;0.78
25.07.2021 20;0.00;0.84
25.07.2021 21;0.00;0.70
25.07.2021 22;0.90;0.00
25.07.2021 23;2.68;0.00
26.07.2021 00;1.71;0.00
26.07.2021 01;0.49;0.00
26.07.2021 02;0.46;0.00
26.07.2021 03;0.52;0.00
26.07.2021 04;0.50;0.00
26.07.2021 05;0.51;0.00
26.07.2021 06;0.57;0.00
26.07.2021 07;0.00;0.60
26.07.2021 08;0.00;0.57
26.07.2021 09;0.00;0.47
26.07.2021 10;0.00;0.83
26.07.2021 11;0.00;0.95
26.07.2021 12;0.00;0.56
26.07.2021 13;0.00;0.88
26.07.2021 14;0.00;1.80
26.07.2021 15;0.00;0.79
26.07.2021 16;0.00;0.54
26.07.2021 17;0.00;0.56
26.07.2021 18;0.00;0.46
26.07.2021 19;0.00;0.43
26.07.2021 20;0.00;0.65
26.07.2021 21;0.00;0.48
26.07.2021 22;1.00;0.00
26.07.2021 23;2.95;0.00
27.07.2021 00;2.78;0.00
27.07.2021 01;0.79;0.00
27.07.2021 02;0.65;0.00
27.07.2021 03;0.62;0.00
27.07.2021 04;0.64;0.00
27.07.2021 05;0.62;0.00
27.07.2021 06;0.70;0.00
27.07.2021 07;0.00;0.70
27.07.2021 08;0.00;0.72
27.07.2021 09;0.00;1.10
27.07.2021 10;0.00;0.87
27.07.2021 11;0.00;0.65
27.07.2021 12;0.00;0.48
27.07.2021 13;0.00;0.46
27.07.2021 14;0.00;1.16
27.07.2021 15;0.00;0.72
27.07.2021 16;0.00;0.52
27.07.2021 17;0.00;0.98
27.07.2021 18;0.00;2.20
27.07.2021 19;0.00;0.83
27.07.2021 20;0.00;0.69
27.07.2021 21;0.00;2.11
27.07.2021 22;1.88;0.00
27.07.2021 23;3.72;0.00
28.07.2021 00;2.89;0.00
28.07.2021 01;1.82;0.00
28.07.2021 02;0.69;0.00
28.07.2021 03;0.73;0.00
28.07.2021 04;0.72;0.00
28.07.2021 05;0.74;0.00
28.07.2021 06;0.72;0.00
28.07.2021 07;0.00;0.78
28.07.2021 08;0.00;0.94
28.07.2021 09;0.00;0.38
28.07.2021 10;0.00;0.38
28.07.2021 11;0.00;0.51
28.07.2021 12;0.00;0.54
28.07.2021 13;0.00;0.28
28.07.2021 14;0.00;0.29
28.07.2021 15;0.00;0.31
28.07.2021 16;0.00;0.31
28.07.2021 17;0.00;0.30
28.07.2021 18;0.00;0.29
28.07.2021 19;0.00;0.30
28.07.2021 20;0.00;0.32
28.07.2021 21;0.00;0.29
28.07.2021 22;0.56;0.00
28.07.2021 23;2.34;0.00
29.07.2021 00;2.42;0.00
29.07.2021 01;2.02;0.00
29.07.2021 02;0.30;0.00
29.07.2021 03;0.30;0.00
29.07.2021 04;0.30;0.00
29.07.2021 05;0.32;0.00
29.07.2021 06;0.29;0.00
29.07.2021 07;0.00;0.31
29.07.2021 08;0.00;0.30
29.07.2021 09;0.00;0.33
29.07.2021 10;0.00;0.30
29.07.2021 11;0.00;0.30
29.07.2021 12;0.00;0.30
29.07.2021 13;0.00;0.30
29.07.2021 14;0.00;0.30
29.07.2021 15;0.00;0.29
29.07.2021 16;0.00;0.29
29.07.2021 17;0.00;0.31
29.07.2021 18;0.00;0.30
29.07.2021 19;0.00;0.29
29.07.2021 20;0.00;0.29
29.07.2021 21;0.00;0.31
29.07.2021 22;0.56;0.00
29.07.2021 23;2.35;0.00
30.07.2021 00;0.52;0.00
30.07.2021 01;0.31;0.00
30.07.2021 02;0.31;0.00
30.07.2021 03;0.29;0.00
30.07.2021 04;0.29;0.00
30.07.2021 05;0.31;0.00
30.07.2021 06;0.31;0.00
30.07.2021 07;0.00;0.32
30.07.2021 08;0.00;0.30
30.07.2021 09;0.00;0.31
30.07.2021 10;0.00;0.31
30.07.2021 11;0.00;0.30
30.07.2021 12;0.00;0.30
30.07.2021 13;0.00;0.28
30.07.2021 14;0.00;0.31
30.07.2021 15;0.00;0.30
30.07.2021 16;0.00;0.31
30.07.2021 17;0.00;0.29
30.07.2021 18;0.00;0.30
30.07.2021 19;0.00;0.32
30.07.2021 20;0.00;0.31
30.07.2021 21;0.00;0.31
30.07.2021 22;0.56;0.00
30.07.2021 23;2.39;0.00
31.07.2021 00;0.89;0.00
31.07.2021 01;0.31;0.00
31.07.2021 02;0.31;0.00
31.07.2021 03;0.32;0.00
31.07.2021 04;0.32;0.00
31.07.2021 05;0.32;0.00
31.07.2021 06;0.31;0.00
31.07.2021 07;0.00;0.31
31.07.2021 08;0.00;0.31
31.07.2021 09;0.00;0.33
31.07.2021 10;0.00;0.31
31.07.2021 11;0.00;0.31
31.07.2021 12;0.00;0.30
31.07.2021 13;0.00;0.33
31.07.2021 14;0.00;0.32
31.07.2021 15;0.00;0.31
31.07.2021 16;0.00;0.30
31.07.2021 17;0.00;0.29
31.07.2021 18;0.00;0.31
31.07.2021 19;0.00;0.30
31.07.2021 20;0.00;0.31
31.07.2021 21;0.00;0.31
31.07.2021 22;0.54;0.00
31.07.2021 23;2.36;0.00
01.08.2021 00;0.91;0.00
01.08.2021 01;0.34;0.00
01.08.2021 02;0.30;0.00
01.08.2021 03;0.31;0.00
01.08.2021 04;0.31;0.00
01.08.2021 05;0.32;0.00
01.08.2021 06;0.32;0.00
01.08.2021 07;0.00;0.33
01.08.2021 08;0.00;0.31
01.08.2021 09;0.00;0.31
01.08.2021 10;0.00;0.30
01.08.2021 11;0.00;0.31
01.08.2021 12;0.00;0.32
01.08.2021 13;0.00;0.32
01.08.2021 14;0.00;0.31
01.08.2021 15;0.00;0.31
01.08.2021 16;0.00;0.32
01.08.2021 17;0.00;0.31
01.08.2021 18;0.00;0.31
01.08.2021 19;0.00;0.31
01.08.2021 20;0.00;0.32
01.08.2021 21;0.00;0.31
01.08.2021 22;0.56;0.00
01.08.2021 23;2.40;0.00
02.08.2021 00;0.91;0.00
02.08.2021 01;0.31;0.00
02.08.2021 02;0.31;0.00
02.08.2021 03;0.31;0.00
02.08.2021 04;0.31;0.00
02.08.2021 05;0.32;0.00
02.08.2021 06;0.32;0.00
02.08.2021 07;0.00;0.32
02.08.2021 08;0.00;0.30
02.08.2021 09;0.00;0.31
02.08.2021 10;0.00;0.30
02.08.2021 11;0.00;0.32
02.08.2021 12;0.00;0.31
02.08.2021 13;0.00;0.31
02.08.2021 14;0.00;0.30
02.08.2021 15;0.00;0.29
02.08.2021 16;0.00;0.31
02.08.2021 17;0.00;0.30
02.08.2021 18;0.00;0.32
02.08.2021 19;0.00;0.31
02.08.2021 20;0.00;0.32
02.08.2021 21;0.00;0.31
02.08.2021 22;0.57;0.00
02.08.2021 23;2.36;0.00
03.08.2021 00;0.91;0.00
03.08.2021 01;0.32;0.00
03.08.2021 02;0.33;0.00
03.08.2021 03;0.30;0.00
03.08.2021 04;0.31;0.00
03.08.2021 05;0.32;0.00
03.08.2021 06;0.30;0.00
03.08.2021 07;0.00;0.33
03.08.2021 08;0.00;0.31
03.08.2021 09;0.00;0.32
03.08.2021 10;0.00;0.30
03.08.2021 11;0.00;0.31
03.08.2021 12;0.00;0.29
03.08.2021 13;0.00;0.32
